Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,187086096,2400.219735650996,3127226,40.12072368563896,372970,4042921,51.86862616384844,57411,0.7365540154489065,7469,
United States of America,Americas,33518946,10126.49,132154,39.93,4000,601980,181.87,1574,0.48,36,Community transmission
India,South-East Asia,30907282,2239.65,287350,20.82,32906,410784,29.77,7503,0.54,2020,Clusters of cases
Brazil,Americas,19089940,8980.99,320132,150.61,20937,533488,250.98,9071,4.27,595,Community transmission
Russian Federation,Europe,5833175,3997.12,174503,119.58,24702,144492,99.01,5176,3.55,780,Clusters of cases
France,Europe,5700017,8763.95,24315,37.39,1120,110400,169.74,141,0.22,24,Community transmission
Turkey,Europe,5486959,6505.83,37495,44.46,5404,50278,59.61,319,0.38,49,Community transmission
The United Kingdom,Europe,5155247,7593.98,224709,331.01,33998,128431,189.19,200,0.29,6,Community transmission
Argentina,Americas,4647948,10284.03,112475,248.86,8850,98781,218.56,2877,6.37,280,Community transmission
Colombia,Americas,4511960,8867.34,161465,317.33,19423,112826,221.74,3930,7.72,528,Community transmission
Italy,Europe,4272163,7163.07,8366,14.03,887,127788,214.26,108,0.18,13,Clusters of cases
Spain,Europe,3971124,8389.83,99756,210.76,4682,81020,171.17,26,0.05,2,Community transmission
Germany,Europe,3737135,4493.55,5571,6.7,646,91259,109.73,197,0.24,26,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,3394279,4041.15,123436,146.96,20829,86041,102.44,1092,1.3,182,Community transmission
Poland,Europe,2880959,7589.83,556,1.46,94,75173,198.04,78,0.21,13,Community transmission
Indonesia,South-East Asia,2615529,956.24,270511,98.9,47899,68219,24.94,6351,2.32,864,Community transmission
Mexico,Americas,2590500,2009.19,50432,39.11,3779,234969,182.24,1347,1.04,62,Community transmission
Ukraine,Europe,2241698,5125.78,3334,7.62,481,52640,120.36,136,0.31,36,Community transmission
South Africa,Africa,2206781,3720.84,131372,221.51,11182,64509,108.77,2338,3.94,220,Community transmission
Peru,Americas,2080777,6310.77,15664,47.51,1962,194387,589.55,1157,3.51,138,Community transmission
Netherlands,Europe,1736879,9977.71,46333,266.17,8522,17766,102.06,9,0.05,1,Community transmission
Czechia,Europe,1669745,15613.94,1496,13.99,249,30333,283.65,2,0.02,2,Community transmission
Chile,Americas,1589623,8315.58,17015,89.01,2145,33980,177.75,731,3.82,103,Community transmission
Philippines,Western Pacific,1478061,1348.83,36343,33.17,5198,26015,23.74,823,0.75,100,Community transmission
Iraq,Eastern Mediterranean,1438511,3576.38,59006,146.7,9149,17592,43.74,247,0.61,44,Community transmission
Canada,Americas,1420531,3763.78,3562,9.44,253,26436,70.04,76,0.2,8,Community transmission
Belgium,Europe,1097029,9520.8,6035,52.38,0,25205,218.75,10,0.09,0,Community transmission
Sweden,Europe,1092540,10578.85,1304,12.63,0,14643,141.79,1,0.01,0,Community transmission
Romania,Europe,1081326,5594.37,296,1.53,51,34233,177.11,21,0.11,8,Community transmission
Bangladesh,South-East Asia,1047155,635.84,80749,49.03,12198,16842,10.23,1450,0.88,203,Community transmission
Pakistan,Eastern Mediterranean,975092,441.43,11432,5.18,1808,22597,10.23,170,0.08,15,Community transmission
