Date,Closing,Openning,High,Low,Volume,Change
05 07 2021,11001.03 ,11031.33 ,11043.25 ,10955.75 ,381.63M,-0.28%
04 07 2021,11031.73 ,10993.75 ,11063.86 ,10993.59 ,364.68M,0.48%
01 07 2021,10979.05 ,10987.13 ,11006.66 ,10968.11 ,352.20M,-0.05%
30 06 2021,10984.15 ,11002.74 ,11009.70 ,10940.44 ,374.66M,-0.11%
29 06 2021,10996.38 ,10963.93 ,10996.38 ,10934.73 ,366.37M,0.36%
28 06 2021,10957.07 ,10981.20 ,10985.79 ,10939.69 ,373.94M,-0.09%
27 06 2021,10966.71 ,10926.64 ,10990.14 ,10925.30 ,429.81M,0.43%
24 06 2021,10919.68 ,10913.06 ,10932.73 ,10895.66 ,390.34M,0.23%
23 06 2021,10894.20 ,10922.57 ,10935.89 ,10881.28 ,474.87M,0.02%
22 06 2021,10891.64 ,10874.08 ,10916.90 ,10873.95 ,345.73M,0.30%
21 06 2021,10859.18 ,10777.96 ,10872.90 ,10745.92 ,328.09M,0.63%
20 06 2021,10790.75 ,10858.15 ,10863.73 ,10770.63 ,342.02M,-0.57%
17 06 2021,10853.12 ,10862.49 ,10894.61 ,10847.31 ,419.03M,-0.03%
16 06 2021,10855.95 ,10848.73 ,10870.13 ,10811.08 ,264.27M,0.23%
15 06 2021,10831.38 ,10918.19 ,10932.82 ,10816.73 ,370.35M,-0.75%
14 06 2021,10913.56 ,10908.89 ,10989.61 ,10844.63 ,426.15M,0.15%
13 06 2021,10897.47 ,10825.72 ,10903.42 ,10816.87 ,382.23M,0.94%
10 06 2021,10796.33 ,10796.99 ,10839.24 ,10780.47 ,387.08M,0.06%
09 06 2021,10790.24 ,10749.78 ,10790.24 ,10746.95 ,431.16M,0.51%
08 06 2021,10735.39 ,10719.30 ,10753.71 ,10599.15 ,512.09M,0.14%
07 06 2021,10719.85 ,10689.92 ,10719.85 ,10681.94 ,418.63M,0.32%
06 06 2021,10685.45 ,10705.47 ,10743.26 ,10676.95 ,441.91M,-0.12%
03 06 2021,10698.30 ,10657.78 ,10700.84 ,10648.23 ,412.52M,0.39%
02 06 2021,10656.81 ,10617.28 ,10680.20 ,10610.29 ,267.44M,0.56%
