Date,Closing,Openning,High,Low,Volume
2021-07-05 00:00:00,11001.03,11031.33,11043.25,10955.75,381.63,-0.28
2021-07-04 00:00:00,11031.73,10993.75,11063.86,10993.59,364.68,0.48
2021-07-01 00:00:00,10979.05,10987.13,11006.66,10968.11,352.2,-0.05
2021-06-30 00:00:00,10984.15,11002.74,11009.7,10940.44,374.66,-0.11
2021-06-29 00:00:00,10996.38,10963.93,10996.38,10934.73,366.37,0.36
2021-06-28 00:00:00,10957.07,10981.2,10985.79,10939.69,373.94,-0.09
2021-06-27 00:00:00,10966.71,10926.64,10990.14,10925.3,429.81,0.43
2021-06-24 00:00:00,10919.68,10913.06,10932.73,10895.66,390.34,0.23
2021-06-23 00:00:00,10894.2,10922.57,10935.89,10881.28,474.87,0.02
2021-06-22 00:00:00,10891.64,10874.08,10916.9,10873.95,345.73,0.3
2021-06-21 00:00:00,10859.18,10777.96,10872.9,10745.92,328.09,0.63
2021-06-20 00:00:00,10790.75,10858.15,10863.73,10770.63,342.02,-0.57
2021-06-17 00:00:00,10853.12,10862.49,10894.61,10847.31,419.03,-0.03
2021-06-16 00:00:00,10855.95,10848.73,10870.13,10811.08,264.27,0.23
2021-06-15 00:00:00,10831.38,10918.19,10932.82,10816.73,370.35,-0.75
2021-06-14 00:00:00,10913.56,10908.89,10989.61,10844.63,426.15,0.15
2021-06-13 00:00:00,10897.47,10825.72,10903.42,10816.87,382.23,0.94
2021-06-10 00:00:00,10796.33,10796.99,10839.24,10780.47,387.08,0.06
2021-06-09 00:00:00,10790.24,10749.78,10790.24,10746.95,431.16,0.51
2021-06-08 00:00:00,10735.39,10719.3,10753.71,10599.15,512.09,0.14
2021-06-07 00:00:00,10719.85,10689.92,10719.85,10681.94,418.63,0.32
2021-06-06 00:00:00,10685.45,10705.47,10743.26,10676.95,441.91,-0.12
2021-06-03 00:00:00,10698.3,10657.78,10700.84,10648.23,412.52,0.39
2021-06-02 00:00:00,10656.81,10617.28,10680.2,10610.29,267.44,0.56
2021-06-01 00:00:00,10597.42,10560.85,10644.34,10552.67,499.94,0.44
2021-05-31 00:00:00,10551.23,10561.46,10569.5,10514.97,464.24,0.03
2021-05-30 00:00:00,10547.67,10529.76,10571.98,10519.24,408.59,0.27
2021-05-27 00:00:00,10519.52,10472.41,10519.52,10461.53,382.97,0.46
2021-05-26 00:00:00,10471.55,10452.61,10490.16,10447.57,302.15,0.23
2021-05-25 00:00:00,10448.0,10331.98,10448.0,10331.98,319.71,1.25
2021-05-24 00:00:00,10318.51,10349.62,10375.51,10318.51,382.71,-0.25
2021-05-23 00:00:00,10343.86,10352.67,10367.67,10307.83,356.68,0.04
2021-05-20 00:00:00,10339.85,10369.58,10381.15,10313.11,297.88,-0.32
2021-05-19 00:00:00,10372.54,10427.04,10431.19,10360.29,263.02,-0.49
2021-05-18 00:00:00,10423.51,10424.23,10492.97,10401.38,317.84,0.26
2021-05-17 00:00:00,10396.44,10332.98,10413.19,10318.47,298.2,0.71
2021-05-10 00:00:00,10322.68,10235.72,10322.68,10233.15,222.05,0.92
